№   | Дата/время       | Температура   | Осадки (мм)
----|------------------|---------------|------------
1   | 2026-05-08T00:00 | 17.9          | 0.0        
2   | 2026-05-08T01:00 | 17.3          | 0.0        
3   | 2026-05-08T02:00 | 16.3          | 0.0        
4   | 2026-05-08T03:00 | 15.6          | 0.0        
5   | 2026-05-08T04:00 | 15.1          | 0.0        
6   | 2026-05-08T05:00 | 14.5          | 0.0        
7   | 2026-05-08T06:00 | 16.5          | 0.0        
8   | 2026-05-08T07:00 | 18.2          | 0.0        
9   | 2026-05-08T08:00 | 21.0          | 0.0        
10  | 2026-05-08T09:00 | 23.2          | 0.0        
11  | 2026-05-08T10:00 | 23.8          | 0.0        
12  | 2026-05-08T11:00 | 24.0          | 0.0        
13  | 2026-05-08T12:00 | 24.1          | 0.0        
14  | 2026-05-08T13:00 | 22.6          | 0.0        
15  | 2026-05-08T14:00 | 21.1          | 0.0        
16  | 2026-05-08T15:00 | 20.1          | 0.0        
17  | 2026-05-08T16:00 | 19.8          | 0.0        
18  | 2026-05-08T17:00 | 18.4          | 0.0        
19  | 2026-05-08T18:00 | 17.2          | 0.0        
20  | 2026-05-08T19:00 | 14.6          | 0.0        
21  | 2026-05-08T20:00 | 11.9          | 0.0        
22  | 2026-05-08T21:00 | 10.9          | 0.0        
23  | 2026-05-08T22:00 | 10.1          | 0.0        
24  | 2026-05-08T23:00 | 9.2           | 0.0        
